Years,Co2
1960,0.119036541
1961,0.109135822
1962,0.163541815
1963,0.175833134
1964,0.13281516
1965,0.146821928
1966,0.160452309
1967,5.400016493
1968,6.807102179
1969,101.0531553
1970,65.0175087
1971,76.34985205
1972,70.86525586
1973,77.61913462
1974,67.01617689
1975,56.66747098
1976,62.15653697
1977,52.74497482
1978,53.63795844
1979,39.28906082
1980,36.19856264
1981,33.61020407
1982,31.65451453
1983,28.76986822
1984,35.85468288
1985,36.54478412
1986,32.65699958
1987,31.10022393
1988,29.72692598
1989,31.57484545
1990,30.29910246
1991,31.74752305
1992,29.05169877
1993,28.59923567
1994,29.76407103
1995,30.07744196
1996,29.85678902
1997,30.49007603
1998,29.80576664
1999,28.99499634
2000,26.97453501
2001,29.14565622
2002,28.20537955
2003,27.89114345
2004,27.03156411
2005,25.34315035
2006,22.91623744
2007,21.34759078
2008,22.03262691
2009,19.85255706
2010,19.04327931
2011,18.5899326
2012,19.22311613
2013,20.0154209
2014,19.95185248
2015,20.94809226
2016,21.30760952
2017,21.95061433
2018,20.7974984
