Years,Temperature
1961,-0.07
1962,-0.085
1963,-0.107
1964,0.036
1965,-0.231
1966,0.131
1967,-0.134
1968,-0.108
1969,0.225
1970,0.115
1971,-0.243
1972,0.049
1973,0.262
1974,-0.193
1975,-0.029
1976,-0.239
1977,0.073
1978,0.249
1979,0.379
1980,0.292
1981,0.256
1982,0.27
1983,0.689
1984,0.052
1985,0.244
1986,0.281
1987,0.59
1988,0.525
1989,0.181
1990,0.548
1991,0.464
1992,0.429
1993,0.278
1994,0.42
1995,0.544
1996,0.481
1997,0.69
1998,1.279
1999,0.483
2000,0.449
2001,0.689
2002,0.785
2003,0.781
2004,0.755
2005,0.938
2006,0.707
2007,0.763
2008,0.628
2009,0.865
2010,1.111
2011,0.754
2012,0.901
2013,1.121
2014,1.199
2015,1.372
2016,1.836
2017,1.419
2018,1.443
2019,1.7
2020,1.688
2021,1.473
2022,1.367
