Year,Temp
1961,-0.285
1962,0.538
1963,0.369
1964,-0.287
1965,0.211
1966,0.276
1967,-0.057
1968,-0.616
1969,0.574
1970,0.422
1971,-0.151
1972,-0.801
1973,-0.329
1974,-0.46
1975,-0.332
1976,-0.562
1977,0.391
1978,0.037
1979,0.445
1980,0.372
1981,0.225
1982,-0.325
1983,-0.697
1984,-0.187
1985,0.138
1986,0.191
1987,0.162
1988,0.191
1989,-0.31
1990,0.241
1991,-0.282
1992,-0.667
1993,-0.038
1994,0.381
1995,-0.198
1996,0.306
1997,-0.342
1998,0.968
1999,1.293
2000,0.681
2001,0.56
2002,1.123
2003,1.052
2004,1.052
2005,0.725
2006,1.255
2007,0.802
2008,0.777
2009,0.896
2010,1.482
2011,1.121
2012,1.086
2013,0.739
2014,0.909
2015,1.556
2016,1.059
2017,1.632
2018,1.498
2019,1.204
2020,1.21
2021,1.699
2022,1.482
